lr,lr_decay,entropy_coef,batch_size,roll_length,num_epochs,network
5e-05,1e-07,3.545707591156179e-05,2000.0,20000.0,20.0,medium
5e-05,1e-07,0.00012089955903416467,2000.0,20000.0,20.0,large
0.0005,1e-07,4.126654019912291e-06,500.0,20000.0,5.0,medium
0.0005,1e-07,8.356274992218377e-05,500.0,20000.0,20.0,medium
0.001,1e-07,4.741909157940403e-06,4000.0,20000.0,10.0,small
0.001,1e-07,0.00012827660348615507,4000.0,20000.0,5.0,small
0.003,1e-07,6.974930335289575e-06,2000.0,20000.0,5.0,medium
0.003,1e-07,0.00010525254520153621,500.0,20000.0,20.0,large
0.0005,1e-07,4.494278701173849e-05,4000.0,20000.0,20.0,small
0.001,1e-07,1.56066318622975e-05,4000.0,20000.0,5.0,large
5e-05,1e-07,1.4910589879339917e-06,2000.0,20000.0,5.0,medium
0.0005,1e-07,5.797261779142057e-06,500.0,20000.0,5.0,large
0.001,1e-07,5.94715193969373e-06,4000.0,20000.0,10.0,large
0.0005,1e-07,1.971240329808534e-06,4000.0,20000.0,10.0,small
0.003,1e-07,3.2761465804204467e-06,4000.0,20000.0,5.0,medium
0.001,1e-07,4.720755013839762e-06,4000.0,20000.0,10.0,medium
5e-05,1e-07,5.427366544414712e-06,500.0,20000.0,10.0,small
5e-05,1e-07,4.2845644161126506e-05,500.0,20000.0,5.0,medium
0.0005,1e-07,3.6564196678047873e-06,4000.0,20000.0,20.0,small
5e-05,1e-07,2.3413761709711473e-06,4000.0,20000.0,20.0,medium
0.001,1e-07,5.145584389990908e-06,500.0,20000.0,20.0,medium
5e-05,1e-07,4.9435800593536136e-06,4000.0,20000.0,5.0,medium
0.001,1e-07,0.0007334196680218494,500.0,20000.0,10.0,small
0.0005,1e-07,0.00013187239593571832,500.0,20000.0,10.0,small
5e-05,1e-07,1.9608767838429746e-05,500.0,20000.0,20.0,large
0.003,1e-07,5.01216426266221e-05,500.0,20000.0,5.0,large
0.001,1e-07,0.0004887132558386429,4000.0,20000.0,10.0,large
0.003,1e-07,0.00029683535640152994,500.0,20000.0,20.0,small
5e-05,1e-07,4.238548670667438e-06,2000.0,20000.0,20.0,large
5e-05,1e-07,0.00020033234662969604,500.0,20000.0,10.0,large
0.0005,1e-07,9.62653669575091e-06,4000.0,20000.0,5.0,medium
0.003,1e-07,2.5013403953503154e-05,4000.0,20000.0,10.0,large
0.003,1e-07,5.193684873645476e-05,4000.0,20000.0,20.0,small
5e-05,1e-07,4.850300656171175e-05,4000.0,20000.0,5.0,small
0.003,1e-07,0.0009636874686201082,500.0,20000.0,20.0,large
0.003,1e-07,3.214328940640296e-05,4000.0,20000.0,20.0,small
0.001,1e-07,0.000478838054820427,4000.0,20000.0,20.0,large
0.003,1e-07,2.179904542123326e-06,4000.0,20000.0,20.0,small
0.003,1e-07,8.670603501143648e-06,4000.0,20000.0,20.0,medium
0.001,1e-07,4.931463760735482e-06,2000.0,20000.0,20.0,medium
0.003,1e-07,3.21291481047377e-06,2000.0,20000.0,10.0,medium
0.001,1e-07,0.0002033969828780486,500.0,20000.0,10.0,medium
0.003,1e-07,2.9518863474878354e-05,500.0,20000.0,5.0,large
0.001,1e-07,0.00017967895985174372,2000.0,20000.0,5.0,medium
5e-05,1e-07,2.047393316719246e-06,2000.0,20000.0,20.0,small
0.001,1e-07,3.584545091413153e-05,4000.0,20000.0,5.0,small
5e-05,1e-07,8.837643070294572e-06,4000.0,20000.0,10.0,large
0.001,1e-07,0.0008138832874749054,500.0,20000.0,5.0,large
0.0005,1e-07,0.00034399043912142354,4000.0,20000.0,5.0,small
0.001,1e-07,0.0002640531521429069,500.0,20000.0,5.0,large
0.0005,1e-07,1.3221073597368537e-05,2000.0,20000.0,20.0,large
5e-05,1e-07,0.0001080107906534874,500.0,20000.0,20.0,large
0.001,1e-07,2.9104745803884183e-05,4000.0,20000.0,10.0,medium
0.001,1e-07,6.916486873199486e-05,500.0,20000.0,10.0,large
5e-05,1e-07,6.213633186460488e-05,500.0,20000.0,10.0,medium
0.003,1e-07,3.332048144177578e-06,500.0,20000.0,10.0,large
0.0005,1e-07,0.0003487254856492804,500.0,20000.0,20.0,large
0.003,1e-07,7.32079258167603e-05,4000.0,20000.0,5.0,large
0.001,1e-07,7.808234673530219e-06,500.0,20000.0,10.0,large
0.0005,1e-07,0.0001569704672553731,4000.0,20000.0,20.0,medium
0.003,1e-07,7.161738349966559e-06,4000.0,20000.0,10.0,medium
